,long,lat,NAME,FOLDERPATH,SYMBOLID,LatRound4,LongRound4,LatLong4,nearest_block,nearest_road
34,103.97045403716999,1.32630159100271,XILIN AVENUE,Layers/Expressway_Sliproad,2,1.3263,103.9705,"1.3263,103.9705",,
35,103.74141454784001,1.38585060837157,CHOA CHU KANG WAY,Layers/Expressway_Sliproad,2,1.3859,103.7414,"1.3859,103.7414",435,CHOA CHU KANG AVENUE 4
36,103.738830542424,1.38412044076177,CHOA CHU KANG WAY,Layers/Expressway_Sliproad,2,1.3841,103.7388,"1.3841,103.7388",440,CHOA CHU KANG AVENUE 4
37,103.74141454784001,1.38585060837157,CHOA CHU KANG WAY,Layers/Expressway_Sliproad,2,1.3859,103.7414,"1.3859,103.7414",435,CHOA CHU KANG AVENUE 4
38,103.74169879700199,1.3873650512581799,CHOA CHU KANG WAY,Layers/Expressway_Sliproad,2,1.3874,103.7417,"1.3874,103.7417",510,CHOA CHU KANG STREET 51
39,103.74497694961501,1.3896467056738502,CHOA CHU KANG WAY,Layers/Expressway_Sliproad,2,1.3896,103.745,"1.3896,103.745",704,CHOA CHU KANG STREET 53
40,103.74169879700199,1.3873650512581799,CHOA CHU KANG WAY,Layers/Expressway_Sliproad,2,1.3874,103.7417,"1.3874,103.7417",510,CHOA CHU KANG STREET 51
41,103.745476721073,1.38981278176925,CHOA CHU KANG WAY,Layers/Expressway_Sliproad,2,1.3898,103.7455,"1.3898,103.7455",704,CHOA CHU KANG STREET 53
42,103.74519994199,1.3906463119688999,CHOA CHU KANG WAY,Layers/Expressway_Sliproad,2,1.3906,103.7452,"1.3906,103.7452",704,CHOA CHU KANG STREET 53
43,103.765145868126,1.30935591391711,CLEMENTI AVENUE 2,Layers/Expressway_Sliproad,2,1.3094,103.7651,"1.3094,103.7651",466,CLEMENTI AVENUE 1
44,103.766982876816,1.30720938470899,CLEMENTI AVENUE 2,Layers/Expressway_Sliproad,2,1.3072,103.767,"1.3072,103.767",604,CLEMENTI WEST STREET 1
45,103.760857164804,1.3136379436835601,CLEMENTI AVENUE 6,Layers/Expressway_Sliproad,2,1.3136,103.7609,"1.3136,103.7609",433,CLEMENTI AVENUE 3
46,103.76143243726,1.31349021988875,CLEMENTI AVENUE 6,Layers/Expressway_Sliproad,2,1.3135,103.7614,"1.3135,103.7614",431,CLEMENTI AVENUE 3
47,103.76132356201599,1.33441315421435,CLEMENTI AVENUE 6,Layers/Expressway_Sliproad,2,1.3344,103.7613,"1.3344,103.7613",,
48,103.763375360982,1.3329926652388302,CLEMENTI AVENUE 6,Layers/Expressway_Sliproad,2,1.333,103.7634,"1.333,103.7634",,
49,103.76878466930701,1.3325444067215602,CLEMENTI AVENUE 6,Layers/Expressway_Sliproad,2,1.3325,103.7688,"1.3325,103.7688",,
50,103.770263488906,1.30450774410722,CLEMENTI ROAD,Layers/Expressway_Sliproad,2,1.3045,103.7703,"1.3045,103.7703",611,CLEMENTI WEST STREET 1
51,103.77174860427,1.3038337873906798,CLEMENTI ROAD,Layers/Expressway_Sliproad,2,1.3038,103.7717,"1.3038,103.7717",611,CLEMENTI WEST STREET 1
